id,created_at,updated_at,deleted_at,birth_date,status,version,city,state,last_date_purchase,average_ticket,items_quantity,all_revenue,all_orders,recency,marketing_source,tempo_cancelamento,cancelamento_ultimo_pedido,cancelamento
8bf7960e-3b93-468b-856e-6c6c5b56f52b,2017-08-15 07:05:00,2021-01-14 11:23:00,,1974-07-10,active,2.31.7, Peixoto da Praia,AM,2021-01-14 11:23:00,151.142941888541,10,906.857651331245,6,35,crm,,,
a39535b5-4647-4680-b4f6-3aed57c1f1ff,2019-12-31 21:53:00,2021-01-08 11:23:00,,2040-07-06,paused,3.30.12, Fernandes,RR,2021-01-08 11:23:00,236.991789979188,4,236.991789979188,1,41,organic_search,,,
dc067cd2-c021-42bd-8c0e-beb267280e66,2019-03-07 23:46:00,2021-01-07 11:23:00,,2063-03-18,active,3.28.9, Lopes,RR,2021-01-07 11:23:00,211.955597446163,13,2331.5115719078,11,42,organic_search,,,
b5e4caeb-3a9b-49ed-aa33-5acd06b162c1,2018-07-21 10:17:00,2021-01-10 11:23:00,,1980-11-21,active,3.34.3, Campos do Campo,PE,2021-01-10 11:23:00,204.113226530216,8,1224.67935918129,6,39,organic_search,,,
d4ff61fc-f008-4e19-b8ae-bd70cfa3ae27,2018-06-08 12:09:00,2021-01-18 11:23:00,,2059-07-07,active,3.19.8, das Neves,RJ,2021-01-18 11:23:00,252.94099747406,9,2023.52797979248,8,31,crm,,,
cf80033a-1db3-4be3-a4a6-6f9b84e1386f,2017-06-09 16:33:00,2021-01-17 11:23:00,,2055-04-17,active,4.28.7, Aragão,AM,2021-01-17 11:23:00,215.477590035546,5,1723.82072028437,8,32,organic_search,,,
930858b1-ee5f-4df3-94d5-d43dc3eff4d8,2017-05-25 20:02:00,2021-01-14 11:23:00,,1980-06-23,active,4.39.6, Lopes,MT,2021-01-14 11:23:00,195.854438681288,10,1566.8355094503,8,35,organic_search,,,
e7b78675-9438-4191-94c7-f942abcdca8b,2017-10-17 06:53:00,2021-01-16 11:23:00,,2056-12-10,active,3.37.9, Pereira Grande,SC,2021-01-16 11:23:00,216.017706601439,8,864.070826405758,4,33,direct,,,
6ba36c18-a1c4-4d30-89dd-adbd37c9d9e6,2017-12-09 04:32:00,2021-01-10 11:23:00,,2072-07-05,active,3.12.13, Fernandes Alegre,PR,2021-01-10 11:23:00,221.978135305628,8,443.956270611256,2,39,organic_search,,,
70029e96-d57e-4fef-9795-bd4152ebf9a0,2019-10-24 09:17:00,2021-01-05 11:23:00,,2066-05-11,active,3.18.6, Cardoso do Sul,MT,2021-01-05 11:23:00,220.287961479789,7,660.863884439368,3,44,paid_search,,,
